H_sed,Vs_sed0,Vs_sedz,K_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle,misfit
0.6747347645134827,0.8259592173851862,2.710899415557152,2.1936819195799435,25.0,3.811556829118714,1.6341010564203782,37.755381749891576,3.9839515185374235,1.9,4.611507934305685,1.7543773898309998,43.02680019594468
0.6389233103405509,0.8272035823398914,3.360068293298523,2.2501498998358636,24.4643153301393,3.8143427685589666,1.6140904584265212,38.25942946317716,4.0129677886476784,1.9,4.608844820257039,1.7617001968702621,43.074029301686295
0.8472240377345027,0.8236246011189358,3.4085589405053645,2.2268560015342485,24.494249187294848,3.831662926188867,1.6227181888493354,38.25875828978068,4.009272180993476,1.8946237029658155,4.603363201720833,1.758363677669696,43.08391180462886
0.7122656973097218,0.8240369651607251,3.1199621693102104,2.259173128077287,24.257151049775228,3.773447301219226,1.630005647684435,38.21413990282598,4.02072807919925,1.8884168931726835,4.623891307448746,1.75,43.178164951131535
0.688458717688801,0.8283663026242678,3.2758084734075386,2.1868753410759667,25.0,3.8068152896844647,1.6338393306879144,38.000907821830154,3.9981514645030156,1.9,4.596594066157903,1.7565523036191197,43.205912219013705
0.9024686604564174,0.8276981287306461,3.5,2.2359195950196025,24.58033649523456,3.8097364631087154,1.591438081739769,38.33177396313451,4.049160854356828,1.8997179787061866,4.637771687716733,1.7625324940400044,43.2593158961171
0.6466146228563305,0.823664864867038,3.5,2.1944084548671894,23.378761191306246,3.820462187619462,1.6079603400364146,38.01092612238838,3.994756694499667,1.8786988887936777,4.607976296311587,1.750563696923355,43.26284243225706
0.6839347026596132,0.8335650286312325,2.719615856368584,2.1802711331112343,24.702436991046717,3.8774257924443223,1.5906487423960123,38.21805829223207,3.9813202338419376,1.895682896796994,4.609219576195472,1.7611979089999348,43.26809529134254
0.7350130066006424,0.824311113462413,3.380023214117833,2.1639380477712904,23.263121399745284,3.827912111535888,1.6018644179931114,38.52004494899675,4.076804428278025,1.9,4.671004920337236,1.760623956046929,43.271221101417474
0.723502865415665,0.8267967662336809,2.9751091560845184,2.176341768654313,25.0,3.786254478133331,1.616193581460244,37.92584119205738,3.9563495288730515,1.8995792047347504,4.604513756053743,1.758387733825853,43.277764088283114
0.6548082980300391,0.8243428605246986,3.065886403254929,2.209264564510235,25.0,3.7698609622427552,1.6272150019941138,38.000855537010985,3.9683087383988775,1.8852140157828547,4.599027328929052,1.75,43.27782847609721
0.4801528159029201,0.7940517300739414,2.1678401521562476,2.2408064388251723,24.79753281039032,3.7385952745886666,1.616279742047016,37.92160133276952,4.046418065647895,1.886509786121914,4.6376462132955885,1.7568726645536368,43.277872388533076
0.8424911314928887,0.820652910485075,3.4371487297187056,2.164099596732641,23.37913467283038,3.8315480196922826,1.587432774600942,37.96228225818191,3.984961733783354,1.886475161003425,4.618462950827872,1.7558406518815257,43.290231369500574
0.7730002456865765,0.8231689572217366,3.2284946011381974,2.2107422192086346,24.677769426013935,3.852060427705616,1.6219262236095564,38.281781837172545,3.9997823976170763,1.897469528117946,4.590743207984781,1.7566040893024149,43.30184259573018
0.811270716151382,0.8254134784134325,3.5,2.2222819037299923,24.234282618990207,3.7856070500136947,1.5929595442896272,38.271264827108965,4.040645546595414,1.9,4.629090881882568,1.7615932998440502,43.306248079275804
0.7049620983697289,0.8221103812988626,3.5,2.20067870333024,24.824327939724036,3.7899543770500075,1.6555220314549228,37.93774887395964,3.991664726025569,1.8843750636006928,4.594264986538777,1.7568876540748015,43.31044426225801
0.7522779802626123,0.8221454781125878,3.480117268654138,2.1607935339997812,24.770461833923374,3.8020632748815038,1.6269175857231306,37.933127448596096,3.988394615674556,1.8920588357813095,4.568778096931152,1.7573375232327408,43.32308030010122
0.616712781883286,0.8279138049506309,2.00813210136079,2.182705857260306,23.988239307320764,3.8923739965176054,1.570142250518724,38.546014346479325,4.016425782082474,1.8922107835408728,4.648554876422959,1.75,43.3252471771223
0.557597674510343,0.8228025955938091,3.5,2.199583002114996,24.734949725810655,3.7595784088602917,1.61935507148802,38.03239818126172,4.030071264987027,1.8813380912030486,4.630767778342182,1.7608663213143256,43.33460476772858
0.7685259574674855,0.8293866474162779,2.7704943581439094,2.2273323278003265,25.0,3.7872368413850457,1.626266705295625,37.941046348564186,3.967304536277766,1.9,4.581068663010378,1.75,43.342737824378105
