p_left,p_right,p_center,n_events,event_ids
0.042199,0.047199,0.044099349999999995,20,"2010.094.22.40.46,2010.114.22.30.52,2009.290.10.45.30,2010.111.17.20.26,2009.283.19.41.25,2011.034.20.25.16,2009.275.01.07.41,2010.247.08.52.01,2010.289.20.08.33,2010.289.13.27.48,2010.285.12.02.56,2009.328.12.47.19,2010.307.23.34.43,2011.190.06.53.49,2010.100.16.54.24,2010.044.02.34.28,2009.326.07.48.20,2011.093.14.07.09,2010.228.19.35.47,2011.052.10.57.52"
0.047199,0.052198999999999995,0.0498373,13,"2010.010.00.27.43,2011.156.16.35.04,2011.090.00.11.56,2011.085.22.49.47,2010.250.16.13.33,2011.212.14.34.47,2010.251.11.37.35,2009.284.03.12.22,2011.009.17.21.55,2011.013.16.16.42,2010.359.13.16.37,2011.130.08.55.12,2009.285.03.15.47"
0.052198999999999995,0.05719899999999999,0.0550417,14,"2009.285.09.37.23,2010.203.05.04.00,2010.063.14.02.28,2009.296.15.14.15,2011.172.02.04.16,2009.280.22.03.17,2009.281.21.16.17,2010.147.17.14.48,2010.183.12.00.13,2010.183.06.04.04,2009.281.08.28.50,2010.222.05.23.46,2011.076.02.48.01,2011.091.13.29.10"
0.05719899999999999,0.06219899999999999,0.060315,11,"2010.177.05.30.21,2011.113.04.16.55,2010.101.09.40.29,2011.066.00.09.38,2010.019.00.17.50,2010.009.05.51.31,2010.004.11.28.21,2010.005.12.15.33,2010.003.21.48.08,2010.003.22.36.28,2011.038.19.53.45"
0.06219899999999999,0.067199,0.0648799,43,"2011.135.18.37.12,2010.232.17.56.24,2010.079.14.00.52,2011.206.00.50.50,2010.175.05.32.29,2011.167.00.03.39,2010.216.22.01.43,2010.201.19.18.23,2010.199.13.04.11,2010.304.16.38.52,2011.120.05.45.37,2010.336.03.12.11,2010.153.09.28.54,2010.327.09.01.09,2010.227.15.09.30,2010.216.07.15.32,2010.107.23.15.23,2011.140.19.43.20,2010.003.04.11.41,2011.212.23.38.57,2009.297.14.40.45,2010.046.21.51.48,2011.197.17.06.39,2010.289.15.44.34,2011.178.16.47.16,2009.332.06.04.24,2009.312.19.41.46,2010.128.03.22.13,2011.069.17.08.37,2010.042.18.43.08,2011.093.20.06.41,2010.177.09.50.45,2009.289.09.52.54,2011.037.11.21.17,2010.250.00.57.22,2011.017.19.20.57,2011.149.18.24.02,2011.002.15.19.31,2010.064.16.06.58,2010.298.22.59.54,2010.298.14.42.21,2011.027.08.38.29,2010.354.18.41.59"
0.067199,0.072199,0.06928770000000001,34,"2011.197.19.59.12,2010.106.01.45.14,2010.123.14.04.23,2009.286.05.37.23,2009.286.20.21.57,2009.361.13.19.12,2009.288.12.11.15,2010.194.23.56.30,2011.177.12.16.37,2010.167.03.06.03,2010.167.03.16.29,2010.307.11.18.17,2010.269.12.12.38,2010.285.10.21.35,2010.182.16.57.51,2010.073.00.57.46,2010.298.12.05.30,2010.095.10.05.47,2010.136.00.33.09,2009.288.18.33.37,2011.041.14.39.28,2011.041.14.42.00,2011.114.23.07.51,2009.280.21.41.14,2011.046.13.33.55,2009.274.01.52.30,2011.216.00.16.09,2010.298.19.37.30,2009.273.10.16.09,2010.096.22.15.02,2010.233.05.42.55,2011.222.00.53.26,2011.018.20.23.25,2010.239.19.23.48"
0.072199,0.077199,0.0739735,32,"2010.199.19.48.07,2010.199.05.56.45,2011.175.03.09.39,2010.068.14.06.53,2010.191.11.43.32,2010.002.08.45.36,2010.014.14.03.41,2010.225.21.19.36,2010.226.07.30.23,2010.226.23.01.07,2010.230.16.28.22,2010.226.14.44.36,2010.281.05.43.09,2009.286.11.38.08,2011.095.11.14.18,2009.261.18.34.25,2009.332.18.10.25,2011.164.14.31.23,2010.215.12.08.28,2009.315.13.48.22,2009.261.11.53.50,2010.151.10.16.02,2010.205.05.35.01,2010.204.22.51.12,2009.277.10.58.01,2010.204.22.08.10,2010.210.07.31.56,2010.089.16.54.47,2009.295.19.51.28,2009.302.17.44.32,2011.134.21.07.20,2010.260.19.21.12"
