parameter,best,top_mean,top_std
H_sed,0.8070591252627912,0.8184062903012183,0.1647894618246714
sed_ratio1,0.5147353094774116,0.6278670673743594,0.12114493892343993
Vs_sed1,0.8020957422548606,0.8842234674976702,0.10210778477513938
Vs_sed2,1.72973835320033,2.52707431705562,0.6241192746921136
VpVs_sed,2.515027288471919,2.831386697838213,0.47393676561703946
H_uc,20.031046513875246,19.91935417047488,0.7712057149769243
Vs_uc,3.792662217458441,3.81971240678348,0.056398048543357525
VpVs_uc,1.8043388857744378,1.8149270546047183,0.03502418041698484
H_moho,38.11340210524477,38.05973934226983,0.9530074728053815
Vs_lc,4.032211919551953,4.060113807975606,0.06397240611233325
VpVs_lc,1.8295036299794432,1.8336570573677184,0.049929576954158054
Vs_mantle,4.604306063509803,4.584397634420224,0.057165901896453285
VpVs_mantle,1.753092894336374,1.7656209345867548,0.016485135295329682
