depth_km vs_km_s
0.000000 1.247126
0.200000 1.285144
0.400000 1.435345
0.600000 2.655899
0.800000 3.509766
1.000000 3.755793
1.200000 3.791895
1.400000 3.805962
1.600000 3.811997
1.800000 3.813925
2.000000 3.814490
2.200000 3.814490
2.400000 3.814490
2.600000 3.814490
2.800000 3.814490
3.000000 3.814490
3.200000 3.814490
3.400000 3.814490
3.600000 3.814490
3.800000 3.814490
4.000000 3.814490
4.200000 3.814490
4.400000 3.814490
4.600000 3.814490
4.800000 3.814490
5.000000 3.814490
5.200000 3.814490
5.400000 3.814490
5.600000 3.814490
5.800000 3.814490
6.000000 3.814490
6.200000 3.814490
6.400000 3.814490
6.600000 3.814490
6.800000 3.814490
7.000000 3.814490
7.200000 3.814490
7.400000 3.814490
7.600000 3.814490
7.800000 3.814490
8.000000 3.814490
8.200000 3.814490
8.400000 3.814490
8.600000 3.814490
8.800000 3.814490
9.000000 3.814490
9.200000 3.814490
9.400000 3.814490
9.600000 3.814490
9.800000 3.814490
10.000000 3.814490
10.200000 3.814490
10.400000 3.814490
10.600000 3.814490
10.800000 3.814490
11.000000 3.814490
11.200000 3.814490
11.400000 3.814490
11.600000 3.814490
11.800000 3.814490
12.000000 3.814490
12.200000 3.814490
12.400000 3.814490
12.600000 3.814490
12.800000 3.814490
13.000000 3.814490
13.200000 3.814490
13.400000 3.814490
13.600000 3.814490
13.800000 3.814490
14.000000 3.814490
14.200000 3.814490
14.400000 3.814490
14.600000 3.814490
14.800000 3.814490
15.000000 3.814490
15.200000 3.814500
15.400000 3.814525
15.600000 3.814591
15.800000 3.814684
16.000000 3.814876
16.200000 3.815077
16.400000 3.815320
16.600000 3.815703
16.800000 3.816174
17.000000 3.816776
17.200000 3.817412
17.400000 3.818294
17.600000 3.819054
17.800000 3.820065
18.000000 3.821211
18.200000 3.822746
18.400000 3.824753
18.600000 3.826780
18.800000 3.829169
19.000000 3.832037
19.200000 3.835776
19.400000 3.839533
19.600000 3.843948
19.800000 3.848767
20.000000 3.854941
20.200000 3.861464
20.400000 3.868670
20.600000 3.876616
20.800000 3.885357
21.000000 3.895106
21.200000 3.933422
21.400000 3.976998
21.600000 4.005550
21.800000 4.028244
22.000000 4.047329
22.200000 4.062233
22.400000 4.074286
22.600000 4.085340
22.800000 4.094117
23.000000 4.101342
23.200000 4.107643
23.400000 4.112697
23.600000 4.116416
23.800000 4.119886
24.000000 4.122876
24.200000 4.125265
24.400000 4.126954
24.600000 4.128466
24.800000 4.129734
25.000000 4.130981
25.200000 4.131781
25.400000 4.132555
25.600000 4.133187
25.800000 4.133772
26.000000 4.134032
26.200000 4.134153
26.400000 4.134300
26.600000 4.134334
26.800000 4.134357
27.000000 4.134358
27.200000 4.134358
27.400000 4.134358
27.600000 4.134358
27.800000 4.134358
28.000000 4.134358
28.200000 4.134358
28.400000 4.134358
28.600000 4.134358
28.800000 4.134358
29.000000 4.134358
29.200000 4.134358
29.400000 4.134358
29.600000 4.134358
29.800000 4.134358
30.000000 4.134358
30.200000 4.134358
30.400000 4.134358
30.600000 4.134358
30.800000 4.134358
31.000000 4.134362
31.200000 4.134410
31.400000 4.134410
31.600000 4.134421
31.800000 4.134440
32.000000 4.134482
32.200000 4.134492
32.400000 4.134520
32.600000 4.134598
32.800000 4.134685
33.000000 4.134809
33.200000 4.134932
33.400000 4.135082
33.600000 4.135303
33.800000 4.135630
34.000000 4.136005
34.200000 4.136470
34.400000 4.137005
34.600000 4.137776
34.800000 4.138711
35.000000 4.140028
35.200000 4.141605
35.400000 4.143574
35.600000 4.145939
35.800000 4.148940
36.000000 4.152769
36.200000 4.157650
36.400000 4.163609
36.600000 4.170939
36.800000 4.179585
37.000000 4.190907
37.200000 4.204498
37.400000 4.221027
37.600000 4.241433
37.800000 4.270022
38.000000 4.306804
38.200000 4.364827
38.400000 4.443340
38.600000 4.502987
38.800000 4.547685
39.000000 4.575050
39.200000 4.597262
39.400000 4.614655
39.600000 4.630523
39.800000 4.643506
40.000000 4.655677
40.200000 4.655677
40.400000 4.655677
40.600000 4.655677
40.800000 4.655677
41.000000 4.655677
41.200000 4.655677
41.400000 4.655677
41.600000 4.655677
41.800000 4.655677
42.000000 4.655677
42.200000 4.655677
42.400000 4.655677
42.600000 4.655677
42.800000 4.655677
43.000000 4.655677
43.200000 4.655677
43.400000 4.655677
43.600000 4.655677
43.800000 4.655677
44.000000 4.655677
44.200000 4.655677
44.400000 4.655677
44.600000 4.655677
44.800000 4.655677
45.000000 4.655677
45.200000 4.655677
45.400000 4.655677
45.600000 4.655677
45.800000 4.655677
46.000000 4.655677
46.200000 4.655677
46.400000 4.655677
46.600000 4.655677
46.800000 4.655677
47.000000 4.655677
47.200000 4.655677
47.400000 4.655677
47.600000 4.655677
47.800000 4.655677
48.000000 4.655677
48.200000 4.655677
48.400000 4.655677
48.600000 4.655677
48.800000 4.655677
49.000000 4.655677
49.200000 4.655677
49.400000 4.655677
49.600000 4.655677
49.800000 4.655677
50.000000 4.655677
50.200000 4.655677
50.400000 4.655677
50.600000 4.655677
50.800000 4.655677
51.000000 4.655677
51.200000 4.655677
51.400000 4.655677
51.600000 4.655677
51.800000 4.655677
52.000000 4.655677
52.200000 4.655677
52.400000 4.655677
52.600000 4.655677
52.800000 4.655677
53.000000 4.655677
53.200000 4.655677
53.400000 4.655677
53.600000 4.655677
53.800000 4.655677
54.000000 4.655677
54.200000 4.655677
54.400000 4.655677
54.600000 4.655677
54.800000 4.655677
55.000000 4.655677
