parameter,posterior_mean,posterior_std
H_sed,0.6573187446440147,0.4139925151252098
Vs_sed0,0.8645376399562186,0.224597209188201
Vs_sedz,2.8205213383033305,0.4244357644495717
K_sed,2.404875495824833,0.24892534454065338
H_uc,22.974386066459644,1.7231605647716186
Vs_uc,3.699151971564922,0.11771844690789096
VpVs_uc,1.6398814754952078,0.056455419335945625
H_moho,37.84567329398459,1.4916989185402738
Vs_lc,4.061641952910197,0.1709412530823065
VpVs_lc,1.8631899378714303,0.03289765355217081
Vs_mantle,4.638895233075005,0.10078618641473293
VpVs_mantle,1.7802679124791143,0.02085674450609872
