parameter,posterior_mean,posterior_std
H_sed,8.551689899513763,0.8358835348032566
sed_ratio1,0.21747886705817226,0.0851640977908145
Vs_sed1,1.1901840907631533,0.40577995817493273
Vs_sed2,2.136868035496807,0.3617056743116781
VpVs_sed,2.035711459228996,0.15501608862493607
H_uc,18.756055830142444,2.928637454695103
Vs_uc,3.402841119634757,0.12802149754213546
VpVs_uc,1.7161470663288436,0.07034349103805798
H_moho,45.26463440009521,4.067346650302996
Vs_lc,3.7755790375002207,0.12457128766459133
VpVs_lc,1.7520684897055936,0.06466664018019648
Vs_mantle,4.604346688259659,0.12276409617374623
VpVs_mantle,1.796147284859681,0.029658551458569497
