H_sed,sed_ratio1,Vs_sed1,Vs_sed2,VpVs_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle,misfit
8.235415152922556,0.13136358403707107,1.0985385444209907,1.907776981135232,1.9152581643933055,16.3683998202027,3.2,1.7009260256980965,43.810650071895985,3.6346631794847366,1.7471748489809924,4.536027152119199,1.769753525878076,39.83579390606559
8.20866403056225,0.13551246579161122,1.1443479189468373,1.897624101641173,1.9054671107666317,16.478659489421073,3.228654941212819,1.6945208701669503,43.80762061081444,3.6333776927344403,1.7528559483767068,4.4957732615825785,1.7777413120314398,40.38802209516809
8.330574689050668,0.11786130715742746,1.0579274832796315,1.8826465361228322,1.8488254607071692,16.40318414883894,3.2442658426727116,1.6623717630561736,43.54695405769648,3.6645008688310234,1.7802150565032087,4.526041655286026,1.776492771120805,41.25674052784008
8.425049203858613,0.13448179505162697,1.1813312218706242,1.902479547803916,1.918801901636987,16.77426803878769,3.2578710699865225,1.7189989142632534,44.17519128982058,3.6359407611268746,1.743606758557087,4.508588510423064,1.7691132974544947,41.33929148177389
8.323425725273506,0.12393813190906802,1.0804634734885414,1.9286047209831256,1.9292861700339585,17.108688492821035,3.271249929325542,1.7219470491767654,43.9961321773107,3.6204348067421157,1.7020369823678938,4.497351328507383,1.7767875392204027,41.34022150242866
8.539760572299086,0.11038393979135286,1.1009007221490787,1.911186956956188,1.8822478461805958,17.30827050157202,3.2327694325277356,1.7093751895741107,43.464051246749804,3.623894479231806,1.7196210165750465,4.518372921631081,1.774106408995328,41.8700546822905
8.687354203797373,0.12821714645809434,1.1722512688379874,2.0051525977226556,1.8546986912538688,17.118377279886083,3.2802617005502,1.7900635754139804,44.426001096152575,3.6258800917871015,1.6881898090708978,4.4451185216068065,1.7795141980002305,42.27269068420205
7.937711605579828,0.1453022552799029,1.1436437289480545,1.811035120481665,1.9286749981593156,16.277647406463558,3.2361272644406296,1.685789705409415,43.741785785595354,3.72976420613763,1.726804002491323,4.564183451482704,1.7711048520520178,42.29579566943204
7.949880921794166,0.15128950224580934,1.1732754082354773,1.827332282783634,1.9378616858910673,17.00848619115865,3.266350484144028,1.725328691680618,44.41279612676959,3.7048396459331174,1.7364114837557498,4.5036945777784965,1.7950768697702397,42.48369181774857
8.057223513679956,0.11694892757328397,1.1127825103628581,1.8071886855384771,1.8392067680359956,17.24472739253079,3.2404138971782706,1.7917111268181352,43.540528780860605,3.7004190823933523,1.657653139954955,4.46498881496543,1.7772400675795978,42.69878405275303
