parameter,best,top_mean,top_std
H_sed,8.235415152922556,8.479640662379138,0.4140710096046798
sed_ratio1,0.13136358403707107,0.13518975211483242,0.022158917600133606
Vs_sed1,1.0985385444209907,1.2269171322548704,0.12765382477888043
Vs_sed2,1.907776981135232,1.940820524280038,0.09422424249519835
VpVs_sed,1.9152581643933055,1.8929733578090817,0.05169541376716969
H_uc,16.3683998202027,18.22215176717352,2.199639439348435
Vs_uc,3.2,3.3007857328746266,0.07353506093832825
VpVs_uc,1.7009260256980965,1.7688323978443046,0.053887134496127725
H_moho,43.810650071895985,44.685545065326515,0.9967809471306586
Vs_lc,3.6346631794847366,3.6630316584129967,0.04934072971065932
VpVs_lc,1.7471748489809924,1.7097656776542858,0.049844350873917434
Vs_mantle,4.536027152119199,4.512671014434508,0.06328838079225885
VpVs_mantle,1.769753525878076,1.7772637735294403,0.01788710135819684
