p_left,p_right,p_center,n_events,event_ids
0.0417185,0.0497185,0.04660835,10,"2008.241.12.37.35,2007.331.11.50.02,2008.155.16.20.54,2008.145.13.24.12,2007.324.12.53.04,2008.124.19.01.59,2007.282.15.03.44,2007.327.01.26.50,2007.294.10.24.55,2008.152.04.38.00"
0.045718499999999995,0.053718499999999995,0.047391699999999995,8,"2008.145.13.24.12,2007.324.12.53.04,2008.124.19.01.59,2007.282.15.03.44,2007.327.01.26.50,2007.294.10.24.55,2007.326.08.48.34,2008.152.04.38.00"
0.0537185,0.0617185,0.059445250000000005,24,"2008.146.19.18.28,2008.220.18.30.11,2008.123.01.33.39,2008.106.22.59.54,2007.304.13.44.24,2008.107.05.54.21,2007.353.09.30.31,2008.141.13.53.40,2008.229.21.29.45,2008.130.21.51.34,2007.356.07.11.12,2007.349.09.39.52,2008.217.20.45.15,2008.144.22.50.38,2008.120.19.10.01,2008.158.13.42.53,2007.349.08.03.16,2008.111.13.01.27,2008.110.03.12.28,2008.110.10.21.17,2008.155.21.03.53,2008.155.22.04.33,2008.235.07.47.42,2008.240.06.46.24"
0.057718500000000006,0.06571850000000001,0.060056,32,"2008.220.18.30.11,2008.123.01.33.39,2008.106.22.59.54,2007.304.13.44.24,2008.107.05.54.21,2007.353.09.30.31,2008.141.13.53.40,2007.304.03.30.19,2008.229.21.29.45,2008.102.09.56.27,2008.102.05.03.00,2008.106.07.33.08,2008.108.17.03.02,2008.130.21.51.34,2007.349.09.39.52,2008.217.20.45.15,2008.144.22.50.38,2008.120.19.10.01,2008.158.13.42.53,2007.349.08.03.16,2008.111.13.01.27,2008.110.03.12.28,2008.110.10.21.17,2008.155.21.03.53,2008.155.22.04.33,2007.329.19.53.08,2007.329.16.02.20,2008.219.22.41.04,2008.103.08.50.18,2008.235.07.47.42,2008.240.06.46.24,2008.150.15.46.03"
0.06171850000000001,0.06971850000000002,0.0680683,29,"2008.187.02.12.04,2008.206.01.43.18,2008.217.04.42.11,2008.175.12.32.14,2007.298.13.50.03,2008.188.01.00.14,2008.188.09.08.24,2008.151.07.25.42,2007.304.03.30.19,2008.102.09.56.27,2008.102.05.03.00,2008.106.07.33.08,2008.108.17.03.02,2008.238.02.43.10,2007.329.19.53.08,2007.329.16.02.20,2008.219.22.41.04,2008.239.03.07.32,2008.139.12.17.25,2008.142.22.23.00,2007.294.16.25.36,2007.294.14.24.24,2008.221.06.37.42,2007.297.21.02.50,2007.284.20.38.32,2007.314.23.19.46,2007.285.00.31.30,2008.103.08.50.18,2008.150.15.46.03"
0.06571850000000001,0.07371850000000002,0.0710665,47,"2008.187.02.12.04,2008.206.01.43.18,2008.217.04.42.11,2008.175.12.32.14,2007.298.13.50.03,2008.188.01.00.14,2008.188.09.08.24,2008.177.23.37.15,2008.120.05.26.08,2008.221.15.53.12,2008.156.17.03.06,2008.205.15.26.20,2008.165.23.43.46,2007.359.14.04.39,2008.107.19.19.35,2008.201.02.39.26,2008.203.11.30.30,2007.330.13.51.37,2008.129.23.21.08,2008.128.16.02.04,2008.151.07.25.42,2008.188.12.01.39,2008.228.10.25.22,2007.331.04.27.05,2008.238.02.43.10,2008.214.10.35.30,2008.239.03.07.32,2008.139.12.17.25,2008.142.22.23.00,2007.294.16.25.36,2008.140.14.26.47,2007.294.14.24.24,2008.221.06.37.42,2007.297.21.02.50,2007.284.20.38.32,2007.314.23.19.46,2007.285.00.31.30,2007.296.19.56.47,2007.335.01.44.34,2008.177.02.53.27,2008.177.01.52.37,2008.196.04.44.58,2007.356.12.26.19,2008.197.03.26.34,2008.173.11.36.26,2008.160.12.25.30,2008.216.00.39.16"
0.06971850000000002,0.07771850000000002,0.0722331,35,"2008.174.23.56.29,2008.177.23.37.15,2008.120.05.26.08,2008.221.15.53.12,2008.156.17.03.06,2008.205.15.26.20,2008.165.23.43.46,2007.359.14.04.39,2008.107.19.19.35,2008.201.02.39.26,2008.203.11.30.30,2007.330.13.51.37,2008.129.23.21.08,2008.128.16.02.04,2008.190.07.42.13,2008.131.19.42.08,2008.114.18.28.46,2008.195.14.58.36,2008.153.01.57.24,2008.188.12.01.39,2008.228.10.25.22,2007.331.04.27.05,2008.214.10.35.30,2008.140.14.26.47,2007.296.19.56.47,2007.335.01.44.34,2008.177.02.53.27,2008.177.01.52.37,2008.196.04.44.58,2007.356.12.26.19,2007.326.23.02.13,2008.197.03.26.34,2008.173.11.36.26,2008.160.12.25.30,2008.216.00.39.16"
0.07371850000000002,0.08171850000000003,0.0757137,11,"2008.174.23.56.29,2008.190.07.42.13,2008.131.19.42.08,2008.114.18.28.46,2008.195.14.58.36,2008.153.01.57.24,2007.326.23.02.13,2008.179.11.40.14,2008.223.08.20.35,2008.223.12.21.12,2008.180.12.54.48"
0.07771850000000002,0.08571850000000003,0.07881885,4,"2008.179.11.40.14,2008.223.08.20.35,2008.223.12.21.12,2008.180.12.54.48"
