H_sed,sed_ratio1,Vs_sed1,Vs_sed2,VpVs_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle,misfit
8.358783972711956,0.13193397990101155,1.1496422893383438,1.9053149946874313,1.957857398390454,31.295152039179555,3.653036534519763,1.85,47.03444700515581,4.141477413596128,1.6736368210946275,4.5610029481555125,1.75954751319218,30.56122774791352
8.578616181670471,0.11609621421448513,1.0854129752754853,1.9409821182025944,1.9316967444962319,31.213175219692026,3.653029160794077,1.8393637602420359,47.5783199115152,4.018192256179554,1.65,4.548851536589456,1.752342096126744,31.158879299359402
8.492317900539529,0.1,1.0,1.9125713034184144,1.859415970093621,31.500992276713124,3.6776982536578893,1.85,46.96241551951293,4.122843450178833,1.684397947632282,4.531840992532366,1.7810451956319742,31.454007837448074
8.304324165342202,0.11104147841639073,1.048068199782949,1.8771029229531582,1.887262605181127,30.767481400221264,3.6648036184811756,1.7968664645140613,46.727257113692254,3.926849143019473,1.7254020499888338,4.590845445709536,1.7664660225711182,31.764365169457903
8.410798212584282,0.1247569496737238,1.1064225505779164,1.9278440959292844,1.9033127633518454,31.233150266008746,3.6458940609972004,1.85,46.439148582979065,4.001748996730508,1.7252452788544492,4.546032710820013,1.75,31.764985460088404
8.19598840850195,0.13418741151948252,1.161841425114862,1.8767288095105032,1.9051007214542188,30.64905450211766,3.56909163326489,1.8328522044557853,46.86770919972675,4.059298296573405,1.689920005909325,4.56202401880469,1.789463548899138,31.77251282233682
8.6616163137977,0.12309364963503946,1.1165498880236404,1.9782559140694356,1.9468379707161076,31.177322485717134,3.6577986159977196,1.8119138842155404,47.534415186298226,4.000742546151729,1.65,4.611265105897034,1.7533295576588324,31.98568581208491
8.340127476654434,0.11455565793740227,1.0473348336315982,1.8953420348034713,1.921209666699648,31.04052303168049,3.651224949403396,1.8122602807360368,48.0,4.009700952571489,1.7150786528555562,4.554674330050213,1.765233894670328,32.02644269563512
8.372579190766931,0.10988070956273119,1.0486980891222268,1.895632501431581,1.8855150893175439,31.04829155020292,3.6434721483997405,1.7741818981568591,46.22539056528063,3.809974769967403,1.7242756205593932,4.5438859718663585,1.7636668690427397,32.107583017585625
8.252164917817321,0.1037127302257023,1.0187724608895368,1.8639982795337493,1.8519799142927669,30.59741909595956,3.603042016066571,1.8113205355633006,46.10029843549784,3.9841809542054647,1.741511132786405,4.601321590835711,1.7611676456617318,32.137713638577466
8.16071870511513,0.12231291782747652,1.097062813489142,1.8802945126614505,1.9759909502742734,32.29922920830057,3.6195541240477653,1.8236839302937213,47.362238876095006,4.074670515273443,1.65,4.586119635908352,1.7716383145848251,32.16079813261418
8.251483156246488,0.1090365712000687,1.0126933430204346,1.8765886289657698,1.9098495031326754,30.647214973719795,3.643525182343754,1.8236670564166295,46.99295980066952,4.086884616025175,1.6937716698415646,4.5858799918388815,1.7690985793291676,32.171355161402104
8.318740950218382,0.11083717646946202,1.0503711522794532,1.863555083420218,1.9034582755961496,30.65205163432564,3.688494879386137,1.8097084769358245,47.03958444198503,4.054569285156556,1.6880939937270012,4.535840116568165,1.75,32.21391717525546
8.39144537834479,0.11433819973405876,1.0809217424480972,1.8950231888791655,1.8918520922032425,31.471490191544053,3.7448747677604923,1.8320297353873543,48.0,4.087787707085634,1.79772190692808,4.597306029429115,1.76230671989847,32.319081043685756
8.49897263196259,0.10999517389855419,1.0742493150109376,1.9202799890104592,1.89392638397348,31.12770961699262,3.702790629227625,1.85,48.0,4.110687191490136,1.8261589162504075,4.649931543261127,1.7739888030198567,32.38988911472282
8.46560726700443,0.1,1.0,1.8995593992146556,1.8935351630255726,31.179227813317247,3.6659180657884445,1.8279563090812676,47.09935360233417,4.186110606056037,1.6974688137717104,4.590918358811733,1.7713840885898042,32.43560490926079
8.642716010183818,0.1,1.0,1.9505893331718034,1.8918359598299925,31.499578188070988,3.765460464118722,1.85,48.0,4.111727764894692,1.70818957788908,4.523231025130975,1.75,32.43735652475375
8.384183438721738,0.10730014380984822,1.0,1.9012502396205981,1.9114122521377648,31.069570838462997,3.590273736546038,1.786844780737168,46.75712187332071,3.969831203593599,1.7086083806032655,4.563396477475722,1.7695514006888875,32.44730226328504
8.460488946760794,0.11840319521978501,1.0879570129821936,1.9188777502489631,1.8973332250389916,32.128034348661934,3.8081993289114386,1.8086893593414317,48.0,4.017483271332249,1.8228954308896195,4.570193077086293,1.777845809533359,32.44873744174113
8.616978995726198,0.1,1.0223957645987656,1.9442957875287807,1.8715005327188743,30.99374046195959,3.621164050563917,1.828593892678438,46.88563812857788,4.065778607263963,1.65,4.570618901186119,1.7731875776113377,32.47318923990442
8.359029081146282,0.11925044572766097,1.0953873249311896,1.9117935222276081,1.8797830623169727,31.981711117327137,3.6397290512011713,1.814760952659401,46.916047319104194,4.077709877770692,1.7925882532532256,4.586712543049865,1.8157780633911966,32.483631894309454
8.41950307039072,0.10288955357826568,1.0147464354530482,1.8900677803278179,1.8862452024887226,30.29566083880726,3.6383994175967453,1.7963214523110402,46.68780409499059,4.005702539169686,1.6902713088473214,4.596435513535694,1.75,32.49724297929436
8.716169510380423,0.12058397314166928,1.1651559407197338,1.9869144762769269,1.9274134960184885,31.45604748168069,3.6095089602083488,1.818657861673576,47.37297085570958,4.032135101580978,1.65,4.591634034609771,1.75,32.50797359065143
8.287185569496177,0.10259993820177889,1.0098007586041782,1.8748807080911187,1.8727981270952716,30.86726281686237,3.635142771813968,1.8030277809315376,46.5774403714183,3.9134353317595822,1.762107842912347,4.509809952437115,1.7588444755731552,32.52183731699897
8.578670853039002,0.1173271695761281,1.0763702420163175,1.9717796445165923,1.8895006848947908,32.38050839551204,3.799625758347384,1.8299364769875508,47.98876790522606,4.039156744262742,1.812988046215912,4.658439730121258,1.7584908370464023,32.52709920967864
8.088871705489844,0.1101131187318665,1.006185670683093,1.8566503822093885,1.9277273204669865,31.004360904084333,3.5860429237439573,1.8253514420656525,47.69269587902516,3.9894118118300455,1.7471302129893636,4.581255198582224,1.7552733159929308,32.55930538134386
8.659575958472079,0.11068916997166611,1.0879660665063497,1.953800749490681,1.922955528025835,32.57480535192997,3.709244233330279,1.796234246340229,47.40450984456651,3.978867179462577,1.65,4.471060812316831,1.7538295131245585,32.57070164183359
8.4833792888446,0.10709081719566012,1.0,1.9161694503956437,1.8999266735146876,30.72936899154228,3.691888877853877,1.8220784693466892,46.594093502248036,4.033208318796674,1.6656486672283448,4.547428615344525,1.7767049376053767,32.597074357539576
