parameter,posterior_mean,posterior_std
H_sed,8.088379697776004,0.8788710159577922
sed_ratio1,0.2017587120439487,0.07562026997779142
Vs_sed1,1.2678611125471397,0.20568492258630144
Vs_sed2,2.0069116884116287,0.3213163618413882
VpVs_sed,2.0093010308832087,0.15188577100061532
H_uc,28.470473305806784,3.7039715636104074
Vs_uc,3.632257784776384,0.1333207224419913
VpVs_uc,1.7580826600346442,0.0704219881166079
H_moho,46.25733576418675,1.4121468109438249
Vs_lc,3.998933831268173,0.18607092102472056
VpVs_lc,1.7467995264984828,0.06688379115542799
Vs_mantle,4.576766583887958,0.11983614549414665
VpVs_mantle,1.805117220187666,0.0394987032750283
