H_sed,sed_ratio1,Vs_sed1,Vs_sed2,VpVs_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
8.115962034618498,0.1041720549303285,1.3138623638807418,1.926585428672778,1.9819401158238985,31.603426791529984,3.444263799491917,1.7270477918485108,47.08197387909278,4.10471817783011,1.679262880617168,4.589686579820455,1.797438751034708
8.414805286593875,0.11570658008010831,1.4018786594680688,1.8912060204175165,1.9834803926934315,31.38899833469518,3.575500599649478,1.817160876690577,46.21429566702626,3.675294137723522,1.8692230116936743,4.741807948949597,1.8004748539257915
8.532856620871081,0.1595854318374788,1.2469077394199979,1.7631811079377522,1.986407772719991,30.007220058691242,3.5754873318236897,1.8170837624214178,45.85979185158351,3.919476973912728,1.8689431869354156,4.816914381785568,1.8257806150844724
8.33385068971388,0.31709745405174783,1.4433499437064647,2.008147122308659,2.0178484209900422,30.592159397326874,3.5803826361316253,1.8409549812844508,45.78023299918494,3.913874484262668,1.8692191277773187,4.788209093977299,1.8169865887182053
8.651381515755197,0.34077977323001074,1.3228796463185923,1.8494857368137594,2.0063364278243645,29.0285185666272,3.573789609086103,1.8449773001276566,46.58287901235016,3.9239552928359083,1.8427954089854333,4.727921824056787,1.8184393354675317
8.441572624412657,0.1894153731498473,1.4138165285464768,2.3735077932564894,2.120237931498573,28.12319997991433,3.5758514477061056,1.8408106462237928,46.62517030928898,3.9234547971983904,1.8263707122045911,4.786361017541114,1.8110273195168511
8.322580582392412,0.1540284661861166,1.159776791150243,1.743639269210925,2.186748961000829,31.90525412442191,3.823918999497401,1.83863801424206,46.01408976741237,3.7098099769721786,1.8652373460548561,4.708186042684089,1.8183709482507902
9.191699222601905,0.11316394631749033,1.7340863788082306,1.7971847523017865,2.3978563843143768,35.29015511471206,3.5986382483694364,1.8294982757849843,46.515851681026916,3.783583556159,1.865427807697781,4.75199965502774,1.7955273636855713
9.264600765543744,0.12724800753820076,1.4940986590454677,2.1950412346363355,2.3640214137765763,33.47912005541252,3.614867910167484,1.8128840568614444,47.50005489949841,3.6286214152749316,1.8492971912772347,4.674491296095824,1.792864494457987
9.43615857539421,0.11123780680694251,1.3568834432417816,2.0873295718928,2.357555682716025,34.93883572803452,3.696784844783357,1.8251592441662767,47.853978653978515,3.7949938666500453,1.8378417250255954,4.822488657084339,1.7996004232235285
9.26886191674575,0.1421881216158325,1.2155117947301315,2.019849628236126,2.197123364043485,27.21144476202342,3.6778155415402343,1.827492798051825,45.8847949762027,3.783530482233032,1.8437699733549564,4.823626748666798,1.798705669820724
8.849725823297991,0.14289928845020217,1.2950883505623958,1.8905456299590786,2.1622990427464615,33.22611465677225,3.7321498985565817,1.8385110286575714,46.65581444205256,3.619171451749667,1.8445017433090987,4.721847645967208,1.804514868583337
7.634141212506985,0.15598970168551565,1.2113933741926597,2.308675140288698,2.0302101063910842,32.83439298785094,3.661215888159982,1.8362638231438213,47.100825558139505,3.760749497324676,1.8072255029619237,4.699281570345116,1.7986201652265943
7.572808953843621,0.17194592716846274,1.176882669198888,2.6095881170963064,2.174281138535839,37.0549117911805,3.7077323427637436,1.8136831078558902,47.698703187818616,3.743602808311839,1.800749308520613,4.742011278215625,1.8078005771928973
8.20746921918431,0.24217911914119936,1.0164960511559717,2.3599601599182454,2.143488615051849,33.56901705635704,3.7193566080526748,1.844605042512982,46.609471701806854,3.764742531928791,1.8178106519606487,4.663461146066386,1.8324218930732457
7.867688587095334,0.2562210397905208,1.1582394477635967,1.8822067511017542,2.285886209181121,37.92542859516054,3.7289840162742727,1.8354002066481665,45.19697181089744,3.8331077610317257,1.8234031521554201,4.727257601738923,1.8012197089968616
7.9021805818148465,0.24838795570885894,1.163852394269138,2.2081162469296487,2.2269244541435436,32.976997350466625,3.764721526431692,1.8452901337118628,45.28672258943673,3.738333369217388,1.8543465428888268,4.789467873033413,1.7919564231356164
8.865785357312873,0.29139922749798464,1.1294976409670556,2.1367866798862343,2.3054547908470306,34.462198457367656,3.7067005696991417,1.8495657213104397,46.33307262631284,3.659754096691293,1.8676860452156792,4.67777237856081,1.7830027839738232
9.370926187703127,0.3520684967146469,1.1228251513460934,1.8916965950771696,2.245668517812784,34.90853207633317,3.688818222679605,1.8479105844043469,47.31421337916603,3.6642690831653546,1.8610581636152563,4.696063170001532,1.7830439058103227
9.536576593526105,0.35327573899207565,1.0976350427917354,2.2373151180933246,2.1902896410765598,32.99735122682628,3.72710425747785,1.843379832901844,47.67900630886301,3.67076650039923,1.8648182472426424,4.731542645013148,1.8016028039246144
9.499790344650258,0.2271038999150364,1.0274100999133895,2.612331784439016,2.2464906756625993,37.84989131557131,3.731380172005983,1.8330631261979684,47.96435127289207,4.058389325529735,1.86186967998581,4.7725851373031825,1.8097730659159261
9.408466739953658,0.32620728460892356,1.452818785742362,2.3434422951199885,2.2140603766897904,35.09280320727863,3.691398666162156,1.849585147829768,46.474507668616184,3.755904612420313,1.8521847882269569,4.800600383062909,1.8104577995522086
9.367957007137624,0.1855500898807944,1.0547999512798543,2.2716228120766564,2.0984681954823894,35.93378565061132,3.6791612287964828,1.8266184412175075,47.51377091690256,3.7972585829727747,1.7644530730510755,4.817540069750562,1.8096358489756892
8.870867342403422,0.18732800850936948,1.2465335295744544,2.160159352746649,2.399868681658974,37.0444390582182,3.677228682725386,1.8266397860990216,47.92557838304439,3.8268877277498192,1.7387995922979103,4.822148855662487,1.8083758965271932
8.86396147726397,0.15729632316522227,1.0694325316631321,2.1531559113000713,2.1966396193878532,39.2382150051544,3.655544111234728,1.8254888610706854,47.48129537231897,3.7941522668224468,1.8196730784580133,4.833085638725088,1.8158707098416111
8.978960963925697,0.15124427586532962,1.0387782211347065,2.1133411336348344,2.175539434846696,35.03340485768321,3.694969192988916,1.805272811174526,47.175557179139076,4.37325133510297,1.688962289015562,4.5151688121978415,1.7815211499129027
8.270963251808412,0.19958990912014302,1.1301925194337965,1.9467692112092299,2.07532549213271,29.523681306937682,3.643856287666801,1.831913172105617,46.699934213481306,4.454832506320177,1.7947761731863068,4.509273967431028,1.775274313107161
7.926654243293976,0.10720777871235831,1.1501307602657684,2.1369109448355497,2.278842708370102,30.99421867148944,3.597893060487106,1.8196991646197564,45.9426936974869,4.149145655559776,1.7696793694222024,4.666495654106191,1.7714560732168112
7.94567162234443,0.13040134772037454,1.3120675296974482,2.40775779558507,2.265135251569534,28.981790799261205,3.5935862458081114,1.8249580580466973,46.07051258100509,3.995618624468582,1.7658908252665164,4.663132056659214,1.7647868023237003
8.26374611681274,0.11281663651636724,1.2589554165025856,2.651889643887376,2.2734572571183724,30.767982141162065,3.591550578289699,1.8374218726981146,47.376492972473855,4.337388003547577,1.7571916150296356,4.613313891554988,1.7587886800991186
7.675928599203318,0.10592548422171866,1.3295161747284425,2.7125556241117312,2.288442666371079,28.163523539581124,3.615224718808734,1.8460254372399547,47.033902075958025,4.186101452482372,1.7599665121140233,4.62052734299501,1.7932120487921348
