parameter,best,top_mean,top_std
H_sed,8.358783972711956,8.559376463229055,0.2372854768006714
sed_ratio1,0.13193397990101155,0.1079307716622531,0.011609616135975914
Vs_sed1,1.1496422893383438,1.0596939164313262,0.06195789021586432
Vs_sed2,1.9053149946874313,1.9375571992591536,0.05793038529144238
VpVs_sed,1.957857398390454,1.88796705870476,0.043630462182265094
H_uc,31.295152039179555,31.17836758156702,1.315129272547124
Vs_uc,3.653036534519763,3.692994842679867,0.08329798216319875
VpVs_uc,1.85,1.815676140876348,0.034441910896738176
H_moho,47.03444700515581,47.3146243421494,0.6513371797636335
Vs_lc,4.141477413596128,4.0371669915470285,0.09765054587870697
VpVs_lc,1.6736368210946275,1.7312694244256848,0.061628542594546185
Vs_mantle,4.5610029481555125,4.579769370796158,0.07335231702627529
VpVs_mantle,1.75954751319218,1.7708931022511913,0.022158928962436417
