parameter,best,top_mean,top_std
H_sed,6.314971727001338,6.3458288308777195,0.5615106515590214
sed_ratio1,0.2933681788495072,0.40563036876773795,0.10581713869782325
Vs_sed1,1.0,1.0975882553122451,0.08114167936263504
Vs_sed2,1.6612907611478789,1.7078341419888923,0.10833520567891702
VpVs_sed,2.3787924998640593,2.2623828334761913,0.10621437185472483
H_uc,25.127776421866475,25.1405340470309,2.2275657738885664
Vs_uc,3.482226134556422,3.4822675702866603,0.10417859857304196
VpVs_uc,1.6460269589216348,1.7076151519095915,0.09099422629030304
H_moho,44.17267798717699,44.553861084824995,1.5824127096855531
Vs_lc,3.7816647590672052,3.775656377908371,0.13675672701662883
VpVs_lc,1.8055428728034062,1.7865023456018716,0.078411102899478
Vs_mantle,4.625484703351165,4.561627799422993,0.10385164931690347
VpVs_mantle,1.772741952430652,1.7819985402609355,0.028672429180451278
