parameter,posterior_mean,posterior_std
H_sed,6.739132353140711,0.8540155794819045
sed_ratio1,0.40283734625539336,0.16463876694265825
Vs_sed1,1.3444005865038344,0.23506200940349922
Vs_sed2,2.01323257532561,0.31368011405265955
VpVs_sed,2.2724224573219702,0.24811607629144922
H_uc,26.68001820405033,3.8611314339965834
Vs_uc,3.5429873124637346,0.1679217507959745
VpVs_uc,1.704393047098208,0.08598051322787323
H_moho,45.58907828639641,2.2484502729166156
Vs_lc,3.9447747770007457,0.1900308835512364
VpVs_lc,1.7679238463821083,0.0718893999173806
Vs_mantle,4.61629169019485,0.13315677028227543
VpVs_mantle,1.81100260282646,0.040314029306987194
