parameter,posterior_mean,posterior_std
H_sed,4.97202576890704,0.8419189452818238
sed_ratio1,0.2113947753045495,0.07798487608082319
Vs_sed1,1.2612471787119208,0.19530907605486453
Vs_sed2,1.9557460736364758,0.30024136544110763
VpVs_sed,2.0138730522825936,0.14613487828856453
H_uc,27.735360741400296,4.071744322135503
Vs_uc,3.6499731611674635,0.12737442354180917
VpVs_uc,1.7832962592524813,0.05098472297961202
H_moho,45.72054889358843,1.8816773648282275
Vs_lc,3.994117495389305,0.1885226806681306
VpVs_lc,1.7708754255834023,0.0703205681823333
Vs_mantle,4.62847939751568,0.11491310672780466
VpVs_mantle,1.8195212945362382,0.03521039687897296
