H_sed,sed_ratio1,Vs_sed1,Vs_sed2,VpVs_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
5.115962034618498,0.23630038012697813,1.0119201569437957,1.8941493524560857,1.956931181940371,28.19151875762543,3.6478790962088796,1.7976110708252027,46.03975875758289,3.9647323845970854,1.7293094493593826,4.616618549476213,1.791503647988902
5.054358927795631,0.25327512614050784,1.5762362562267354,2.254929414076473,2.07693932064177,26.471786718769366,3.6061199377035495,1.809902985520047,46.8272847408353,3.850567330809868,1.7372370712471132,4.554818825539871,1.7882240103251348
4.174374003848311,0.23452302099102867,1.422932330148079,1.6619347354200869,2.3489902693625693,26.4463095282146,3.6443044673942415,1.8160422848448812,46.74598407511833,4.012666266942239,1.6954104681795854,4.531744738071885,1.813227065016425
4.493585538360012,0.1553217403398313,1.445710950868191,1.7006819666769448,2.176882265796483,21.37141966029318,3.5023615565844626,1.795331890243193,48.19451704010276,3.947270711291238,1.6813737593587172,4.486342793269045,1.8270066668067102
4.863764195473378,0.10702572047023828,1.1680960799244546,1.8663703218770022,2.0259043229236204,21.702440909642252,3.848718532543942,1.7000851611680659,47.07834491810789,3.9076007314157044,1.6754971290830087,4.510089007172949,1.8678968777737526
6.481362997228192,0.3484820908210108,1.1311493563204218,1.8103561540046356,2.0216749718532325,20.823044294700757,3.839609738691509,1.8086251744644586,47.326778865956925,4.250180130703534,1.689993007669049,4.4881339279847445,1.8310201745065056
5.9089819014738225,0.28562103977678255,1.1850153161397856,1.9264362976325187,2.217348551233706,20.859293343556534,3.782630443513599,1.8409549812844508,46.558256299103434,4.034363005140531,1.7371873567396299,4.577585112772673,1.834245898747724
5.970985713466052,0.3384543936112326,1.3228796463185923,1.8494857368137594,2.2151926854333213,20.244483053962913,3.6822502912110573,1.8107859833604547,46.54770926192904,3.808906640993496,1.709517576467372,4.567608779675339,1.8263608383454488
6.056175524832339,0.16423191440538332,1.5752555767784264,1.9746512974967982,1.9570027690742104,23.756540842826027,3.6341591191167044,1.7958927827124223,46.536930374099825,4.0108189607999885,1.681926713455551,4.644966108565562,1.797672638579617
5.626487199832161,0.23448116574025693,1.1703000104974466,1.947080291743084,2.0710145330636696,25.71072544064533,3.627275209272215,1.7676857479840558,46.16766853979097,3.9930785069654204,1.7915200497177648,4.825709457634505,1.798035689724786
5.147722558320602,0.40692288625269135,1.3128014950432434,1.9644292246204909,2.114329270935943,28.136975935580146,3.606451601918672,1.7848943970533544,46.35000899010463,3.913169219593451,1.7988156765552739,4.747493810309368,1.8069439805372134
5.917652367338992,0.14796248102235288,1.2550672078804435,2.03609984084319,1.9877120650985232,27.948075973894795,3.4307193869317967,1.7475644959021346,48.23127574095462,4.005902591627838,1.8017728342206718,4.740092544799768,1.8119818683353155
4.55979981219148,0.161838449426594,1.173597719541217,2.529651355149979,2.1035157579038093,27.342591892752633,3.456508631763799,1.749319253434853,48.03622362772046,3.972453508889976,1.8034718116648858,4.722731233631582,1.8142983957380925
4.84461820183488,0.14660484223580686,1.0653553099631048,1.967399455316265,2.1902242374344643,25.873295718928002,3.8790376857584046,1.740273018420103,47.568810197262806,4.101800114444423,1.7233242084820029,4.860659042750743,1.8266621365466205
6.0054676004095295,0.1421881216158325,1.2155117947301315,2.019849628236126,2.197123364043485,27.21144476202342,3.7998820901150627,1.7859017962559502,48.17473592856692,4.309631547858243,1.7009806895091755,4.666019220512735,1.8770880246000392
6.452015329774289,0.14289928845020217,1.199773398182808,2.0810978130286384,2.41871363178368,27.26864914444492,3.8979643910163384,1.8362638231438213,46.07912562684651,4.419074300232555,1.704502239775488,4.489305276291487,1.8798401362810768
6.282613185279775,0.15239511136992412,1.0992079937404782,1.6524302774463813,2.193202238460905,27.48562277071678,3.8610155245696496,1.8158686674687146,47.38020148514927,4.252798726410528,1.727498900036336,4.5515049858133505,1.8635431049255704
5.3670765792703685,0.21169107313143026,1.7014608787810659,1.5164960511559717,2.143488615051849,29.306099328838943,3.8604702232697203,1.8188814289274082,47.15695472443073,4.247854966319083,1.733996155857525,4.554791268869809,1.864249203733412
5.283180702395945,0.26040798713614993,1.3502994493606728,1.7978325768056722,1.8005629217658468,30.21283946962052,3.80797649196103,1.818674100817427,48.46257965831694,4.2242513477595125,1.722179788799391,4.547665272696549,1.861767528320239
6.037518143177673,0.3913315724534462,1.423965587739597,1.663852394269138,1.9628928120224778,30.109095816940616,3.7061769460078677,1.843008848361073,48.69467870541814,4.120257533650255,1.6524577094370203,4.545081501629563,1.8611746952099961
5.53850839144526,0.3844339103928861,1.1508175391421316,1.7312312724476455,1.9507126444953227,29.946724758033252,3.7007135904377586,1.8479105844043469,48.24563471708263,4.173253036256604,1.7785612658081464,4.515947757020685,1.8579061073837777
5.544221175553464,0.36725228402479093,1.1937400797319226,1.8868078271138164,1.8714100924059496,23.219163327739643,3.6589572306610085,1.8472178917118405,48.50798765565062,3.745968252504366,1.7753231080002296,4.713107994659327,1.8842406624100978
5.219687577249848,0.37320274875359183,1.158499091974479,1.7336203232849239,1.8006630406476711,23.89452543096575,3.6796913625048937,1.8462933525976462,48.09837697053972,3.9489071213089235,1.7404220856755905,4.757470261061402,1.801927618623174
5.235238683391552,0.23255021402496265,1.4350553163172195,1.5152241694741422,1.9850937106095177,27.67886888826412,3.6641597030184068,1.8461631170156982,46.35025984580831,4.109177409214207,1.726599751302072,4.562196431102864,1.80360953013084
4.00810899877521,0.3175071749225077,1.3061557860416873,2.2477721466674483,2.0569420887662755,26.388984702791298,3.536564432361536,1.8042436159829722,46.19687302067,3.9586383954955564,1.7307883159317583,4.702128140139727,1.804822125090983
3.905637571484724,0.33289057128359845,1.2838890997566115,2.1379756687936027,1.9619774310783442,26.80088417910296,3.5347934096029254,1.789896002636779,44.80697212419321,3.9903652102229534,1.7313146099218772,4.7394229740170495,1.8082627142836447
4.230968863128342,0.20198095360884225,1.1449799788032118,2.0993663397963416,1.9222144141154205,31.489184295603884,3.8792923509193877,1.7890067847591697,45.529676452516156,3.74923981430595,1.7604797224098365,4.735901925373966,1.8927065637535383
4.130842985201474,0.311485331675713,1.06559359737574,2.0182772581001895,1.960990726885812,30.18748482042404,3.877802650437699,1.7667874303867546,45.49930787139892,3.760237192563305,1.7618972873074368,4.599010282453563,1.8508302029214574
4.35164458917531,0.3247820940325984,1.6107492867172382,1.6771138769331968,2.091322555092575,31.93264008935664,3.8879584737428527,1.806649116631909,44.81480715013589,4.038374889103176,1.7876672627857506,4.631558208921176,1.8513133986479606
5.180812419409721,0.16267989430450475,1.83186175115839,1.6968494165953614,2.1204600401421234,31.70525446180966,3.8920447774634086,1.799631001466487,48.113625604105934,3.6020654075404734,1.7802392713665185,4.609584715041393,1.8596458289129303
4.9899570683399554,0.17069232866534068,2.044176233800167,1.5803541067853386,1.909632605652387,26.89540227839489,3.8333676554571596,1.8016744426798252,47.79545746039973,3.95832267731831,1.750913049567747,4.617323547327792,1.8573985553973988
4.027549810947658,0.32170850972882414,1.1637037804720636,2.324178358931457,1.834716265831566,30.978461950399247,3.807282306552894,1.8411216263391321,45.20219727692713,3.893920160085032,1.7491599048469633,4.62319266478827,1.759749744255796
4.262277897408209,0.3401623885828353,1.043122781479117,2.4638766621846475,1.8862767763967354,30.33672461085314,3.740053351047112,1.8098513832350527,44.60303350368011,3.8970902557281772,1.8869667958836163,4.600618764004102,1.7761184187026877
4.95872406246921,0.3040709570455524,1.1464122167580846,2.1667814172216078,1.9523525207976655,29.439996890300854,3.7662238077340993,1.816848296950124,45.82602407174786,3.724577075738559,1.8957345517736346,4.578711132752866,1.7727171834844573
4.04014483026643,0.3566943789271667,1.276134942079832,1.8266510083458742,2.095882812540261,24.170121723722595,3.5493018139854464,1.818281313133559,48.69599527033003,3.8488991298762345,1.8496190245717925,4.553335283408709,1.766116189666558
4.102577034610008,0.36887815675455204,1.250588745137255,1.7493526154453747,2.2447182058116963,24.282230184760074,3.8492049054722504,1.8209503590163527,46.224564443961604,3.9433837344975466,1.8979077323231857,4.511692302802308,1.7790600360296809
