parameter,best,top_mean,top_std
H_sed,5.037678726077426,5.414749829653983,0.22617061824585052
sed_ratio1,0.14512444746138786,0.14619939777037355,0.022095684404950952
Vs_sed1,1.022271945024198,1.1249628020232159,0.10997161829671548
Vs_sed2,1.8223215633859835,1.9431011562372877,0.07644119130214669
VpVs_sed,1.9359743224945454,1.9148607236718418,0.04863421717077968
H_uc,28.885785158835834,27.889631445117722,3.8165085746114844
Vs_uc,3.716615505311051,3.8234579651603857,0.04771879309801516
VpVs_uc,1.85,1.817417175450438,0.032241131652293635
H_moho,46.10770542668084,47.38982201224391,0.6601907321800136
Vs_lc,3.9582068766559,4.027139839184133,0.07737321092856507
VpVs_lc,1.7341365937359217,1.7386144691167442,0.06593443350386528
Vs_mantle,4.6084554491513,4.644715356222599,0.07654696648931918
VpVs_mantle,1.8071242677209396,1.775162747121029,0.02240905649925338
