parameter,posterior_mean,posterior_std
H_sed,3.280413342530372,0.6586515372716738
Vs_sed0,0.8138806083834565,0.20498235206918936
Vs_sedz,2.20322913607558,0.1743755545137361
K_sed,2.3192570609973235,0.1801316593806037
H_uc,17.350513675659652,2.012279230332085
Vs_uc,3.708431525861463,0.1299114837177197
VpVs_uc,1.746911122062604,0.048701814151109135
H_moho,32.00397250966986,1.7829035069498333
Vs_lc,4.1149273657381435,0.2448416791460858
VpVs_lc,1.680679025383902,0.026247772054022216
Vs_mantle,4.53057720992116,0.08548988264635879
VpVs_mantle,1.7756315404047307,0.018165234646284775
