p_left,p_right,p_center,n_events,event_ids
0.043098,0.048097999999999995,0.0444713,12,"2010.094.22.40.46,2010.247.08.52.01,2010.289.20.08.33,2010.285.12.02.56,2009.328.12.47.19,2011.190.06.53.49,2009.326.07.48.20,2011.093.14.07.09,2010.228.19.35.47,2009.313.10.44.54,2010.181.04.31.00,2009.343.09.46.05"
0.05309799999999999,0.05809799999999999,0.0551285,11,"2009.285.09.37.23,2010.063.14.02.28,2009.280.22.03.17,2011.172.02.04.16,2010.147.17.14.48,2010.183.06.04.04,2009.281.08.28.50,2010.177.05.30.21,2011.113.04.16.55,2011.066.00.09.38,2011.139.20.15.24"
0.06309799999999999,0.06809799999999999,0.0651401,37,"2011.206.00.50.50,2010.175.05.32.29,2011.167.00.03.39,2010.216.22.01.43,2010.201.19.18.23,2010.199.13.04.11,2010.336.03.12.11,2010.153.09.28.54,2010.227.15.09.30,2010.216.07.15.32,2010.107.23.15.23,2011.140.19.43.20,2010.207.17.08.52,2009.288.12.11.15,2010.285.10.21.35,2009.297.14.40.45,2010.182.16.57.51,2010.046.21.51.48,2010.218.08.58.38,2010.289.15.44.34,2009.332.06.04.24,2009.312.19.41.46,2011.069.17.08.37,2010.177.09.50.45,2009.289.09.52.54,2011.017.19.20.57,2010.125.16.29.02,2009.274.01.52.30,2010.064.16.06.58,2010.298.14.42.21,2010.298.19.37.30,2009.273.10.16.09,2011.096.14.01.43,2010.096.22.15.02,2011.026.15.42.30,2010.233.05.42.55,2011.018.11.33.45"
0.06809799999999999,0.073098,0.07115255000000001,28,"2011.125.14.13.01,2011.033.00.38.16,2011.197.19.59.12,2010.123.14.04.23,2009.286.05.37.23,2009.286.20.21.57,2010.167.03.06.03,2010.281.05.43.09,2010.202.09.16.05,2009.286.11.38.08,2010.073.00.57.46,2010.114.07.41.03,2011.095.11.14.18,2011.164.14.31.23,2010.215.12.08.28,2010.095.10.05.47,2010.204.22.51.12,2009.277.10.58.01,2010.204.22.08.10,2009.288.18.33.37,2010.210.07.31.56,2009.343.21.29.02,2010.129.05.59.42,2010.154.09.24.15,2010.163.19.26.46,2010.151.19.51.46,2010.169.23.09.33,2011.018.20.23.25"
0.073098,0.078098,0.075559,17,"2010.120.23.11.43,2010.199.19.48.07,2010.199.05.56.45,2011.175.03.09.39,2010.246.11.16.05,2010.281.03.26.15,2010.014.14.03.41,2010.225.21.19.36,2010.226.07.30.23,2010.226.23.01.07,2010.230.16.28.22,2010.226.14.44.36,2010.151.10.16.02,2011.192.20.47.04,2010.089.16.54.47,2010.260.19.21.12,2011.200.19.35.44"
