H_sed,Vs_sed0,Vs_sedz,K_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
3.3405509463604255,0.7920722431292389,2.008940117707847,2.23205100222294,16.461645414916035,3.6571147506411177,1.7992344330955814,31.398272802983996,4.368484011067572,1.6572251272139327,4.544059064056684,1.7688242556152305
3.5380057310852586,0.7747777414077517,2.0551231598189306,2.2094895139220627,15.120761443022117,3.6929201078047496,1.7857937555475054,32.87173739749987,4.363637073205438,1.7275348050184813,4.556345480526787,1.772268794229164
3.1087380421586057,0.8394075083445482,2.06444700076674,2.35364610318243,16.515830650445743,3.7491669235636755,1.653470974403878,32.78023299918494,4.427593859148488,1.7371873567396299,4.638141070393314,1.7742159734738945
2.6989714736275188,0.8095046417365466,2.0183362290472187,2.208131331921145,16.470450658623932,3.729955574317795,1.804896867500617,33.33802711902745,4.388027277794428,1.7399875813433077,4.628131118225106,1.7691604371035388
2.8276330570929535,0.7346011212824326,2.471493906403915,2.176269488810687,17.154493924344933,3.7480869264578267,1.7777275179119445,34.09043124616264,4.135736435598986,1.7170124801053988,4.624918919199617,1.7582807528791227
3.3695885922788857,0.819699798221373,2.4604591328579715,2.3670431894041153,17.376157759725928,3.735155429014922,1.802827863969222,33.54148475915285,4.437104378805378,1.7298677530479076,4.586768225812465,1.751415959291213
2.7848769925907444,0.9552736368557142,2.461340766852914,2.367129594637632,17.167347547831845,3.771305133970155,1.778645972693724,33.36291364846875,4.258362396694137,1.7117623323806834,4.573760308659084,1.7547702358791553
3.410554519608552,0.7718492836869186,2.1427538529635797,2.362471265122093,21.48263982298736,3.7964206327310626,1.7587348006431167,33.57195726998568,4.308124181679162,1.708424931914533,4.595112118717233,1.7543182735818073
3.5249206562700355,0.6134326952693672,2.140996865663729,2.6590177498539322,21.782139490443257,3.7425559253938783,1.7637294367473493,31.967228518270446,4.43307096253233,1.7177503775442817,4.473772087640599,1.7649830048637105
3.4537298288889846,0.6199779321832478,2.0968139173833373,2.6588798402285456,19.841070901152634,3.714126176253869,1.7041771691411705,29.460409563426815,4.379040817686462,1.7271634089978076,4.520911449902678,1.7691317657108134
3.9519812681915774,0.986201652265944,2.0744059953053586,2.3932022384609053,20.547940585481534,3.7077323427637436,1.696450395647753,31.121453346577447,4.232943176654701,1.725752492906675,4.479779337951022,1.7983050365935178
2.732189030794625,1.1979574496629208,2.2861210009452746,2.361158895978024,19.59025917006082,3.669869825489817,1.6900766440321502,30.8990039193596,4.247854966319083,1.733996155857525,4.530762973793579,1.7964373806609426
2.398164763316652,0.9490270115017169,2.043418523179899,2.4471236901011206,19.67768437614511,3.7037880267628207,1.7031925920443078,33.68537845658615,4.189063683130062,1.7353661816614359,4.522757894005599,1.7980537292481493
2.7523495048954643,0.7305556153623137,2.0024822926572576,2.505454790847031,19.618262848485237,3.84392829455651,1.6163521583868927,34.41723013134923,4.255777623195875,1.7682307373776405,4.545081501629563,1.8037756244120648
3.138371033084925,0.7021831333839967,2.0566472399929197,2.3408036369704606,19.905889848014553,3.7284250101511502,1.6753971841627724,32.10678000598291,4.3062206105341865,1.7407066283841983,4.477477458638461,1.7638939735759487
3.0678884868022593,0.9891699485260061,2.1762210299403373,2.5023480880933278,20.458696947119336,3.7035618344576293,1.6915224041094528,31.36055293888366,4.170217145118956,1.7386297099048869,4.506707741195377,1.7783266819441057
2.788279157241136,0.5696519806272671,2.284036172910634,2.421693760092952,20.561658922195083,3.731380172005983,1.6705935171883866,33.222296468498286,4.257157588168839,1.726599751302072,4.526013624846902,1.7966086803405372
2.78183971871064,0.7077442367687169,2.0151091697939925,2.3194632133623676,19.35468415838847,3.866614305637377,1.647240910718377,34.904564135107776,4.270653247145727,1.7413702084849718,4.513204696435591,1.813258172133999
2.6929093885347224,0.6792648012320248,2.057892347465274,2.3077422157820857,19.74007259587607,3.896452107178114,1.671664705526433,33.41989251784406,4.317020354277509,1.7604797224098365,4.516804437470241,1.7988834135653406
2.1447852494871835,1.2194827058637734,2.0376688746867524,2.2827107463003684,19.992755195195265,3.7910412623527576,1.6845199000737543,32.75058363042102,4.484824744780003,1.6948583898072402,4.462377148935264,1.825783529027543
3.5808686561075187,1.3826350105597087,2.1849001471808407,2.3300796763733245,16.508983480523447,3.796555367037637,1.655598635898853,32.50768662487055,4.498793380590341,1.7037750923225115,4.505393854778487,1.7934859574515452
3.7587233741612622,0.5972719374855726,2.0913984904369998,2.0254675054700675,15.984247082976808,3.830414136169344,1.652753056504961,30.976315519471473,4.489771856738669,1.6871012408492634,4.522071114289286,1.7836266949358923
4.029414888776227,0.8682531565103271,2.0602655800890037,2.109632605652387,16.270588446752964,3.775639471840913,1.7536076941496161,31.91518202795369,4.379554149705157,1.6844647463115192,4.494419560300493,1.7840741413817152
3.127011224682134,0.7612682728182374,2.02908366585103,2.02126791005744,22.516702428841604,3.641666003828426,1.7470414997837023,32.070988471270226,4.365818433523578,1.6813235931421568,4.462338153861344,1.7821167263857005
3.3990822693829705,0.6543291597328482,2.2337737340933725,2.230337624395682,17.23384605604615,3.6596865822535585,1.7561544328819503,32.89639938286572,4.123828931126234,1.669535957835844,4.625304368421059,1.7827821902293084
3.592864306354139,0.5503198895715212,2.163229872555254,2.2543437027510316,17.08389361797869,3.640149268562114,1.7882808109246071,33.444827787502355,4.067388591179182,1.686113571333666,4.478563272342396,1.8218076216533214
3.4482457761506833,0.5392479546795659,2.2145607321681124,2.1786593528315192,18.278550636965903,3.7107223325629803,1.7720564887523373,31.31150557854108,4.03870944883131,1.680090142138923,4.5095267258746325,1.8018052189096563
4.145900477270512,0.6833873020255082,2.3744136445409287,2.1191450776898764,19.276906386781068,3.5935862458081114,1.795552400341924,30.968462209074758,4.0031995979020625,1.6746446705395004,4.557757074217254,1.7610685785361344
4.153596428232413,0.8868839161077353,2.3265088558256397,2.0924899919394417,19.06535413480438,3.609137772461537,1.7863233364769273,30.465766557982253,4.0285767428618575,1.6682740822958095,4.50114193624556,1.770220208270744
4.137653955517774,0.6381339588876217,2.4459768088371217,2.029373648225132,16.977092747890126,3.6058155996622094,1.7832102587107361,29.99723705433958,3.897938273316213,1.6655602988357272,4.551987267244568,1.7700859592998406
3.68404093678748,0.6292172666185425,2.5422608597944314,2.1789654847823288,17.279131969481785,3.5319891096936367,1.7841440570821678,29.92079278541678,3.8817571116815612,1.6695008936195666,4.537531938643093,1.7776048683117143
3.319013425860067,0.6500292931894949,2.5802790069428383,2.2157139952600646,17.381980898718307,3.538492614239924,1.7906631375587547,30.353623864254846,3.8682560700057165,1.6857996385871583,4.515478839331211,1.7722781819055515
3.398173827035848,0.6250143061920539,2.410542636912226,2.2101474389838893,17.48666473658371,3.537888971170223,1.8024932224868273,31.39732004517053,3.914108615742307,1.6762877779607983,4.523556576439083,1.7693805375830451
3.551604681542388,0.6335926337293375,2.522846468716429,2.1066480232110525,15.561923935347059,3.5335566903308715,1.6633705391982216,29.6655682438975,3.9145230131571815,1.673258257722405,4.531360304737794,1.7684958562663091
3.3049947348947715,0.6087043222013537,2.5505767972460114,2.1279252010687806,15.375399079633873,3.5193113737218704,1.6595302797528675,29.98160776817945,3.907964921257153,1.6610119204823106,4.424245490618812,1.8077231266196423
3.112518139399515,0.5746847913155855,2.4966712693384876,2.2618872461620425,15.736994582498314,3.7101097540516994,1.7416623835819058,29.37603088920645,3.944846745035269,1.681337483061967,4.442795344978833,1.7972922557697149
2.8518529189567907,0.5932240268942179,2.5203825170501757,2.197937552918786,16.22596757124685,3.6673204162649573,1.7369438181777608,28.989973596498736,4.3938452661361715,1.6536792271130818,4.415928937477979,1.7914522118258354
3.390327879081828,0.5331104303629219,2.3790135000968893,2.327425382015277,17.530023990602864,3.47127986362862,1.7996245069298924,28.333731741027076,4.345867737433199,1.6541489628340666,4.406854739697961,1.785244413055219
3.119210391317349,0.7022547564284715,2.5752374378144736,2.0281289407772753,16.684109176774705,3.604640932271948,1.7979093371242416,26.54201128518347,4.422816652593974,1.6571276631767775,4.406257861998165,1.7740813546392198
3.021827002681999,0.5106831489534884,2.6166920779529206,2.090294729366012,17.026193865385324,3.4875474584004227,1.822781247146503,27.736998716212387,4.368635628885984,1.6806764181390808,4.411582617019524,1.7551858389091106
2.9428152777526173,0.7501297532635731,2.3888014030184013,2.051274117878796,16.558611078903333,3.494288934746198,1.770825979483622,27.845746643841295,4.35551281386216,1.6745759970322027,4.405307282596394,1.7788977401308543
2.4774957419349,0.6853694906422491,2.7122362539472777,2.1515518085592413,15.501270351124358,3.449600242283576,1.7441774887203292,29.56185392408498,4.453354627621855,1.6741263675465978,4.4026374954547896,1.7742470529826988
2.3923659029968216,0.69538297671685,2.738044439123488,2.042256606153388,15.512706785140413,3.5257969473951407,1.7272550231449115,27.053279810690178,4.47034893545699,1.6972105671331998,4.4072908324189966,1.7806266358444252
2.326741865303079,0.7454719028742451,2.715136396187197,2.186257280107308,15.181628620654983,3.5167037838118507,1.7375919051800048,26.906087187110405,4.474080802892121,1.662679501357856,4.4005746891993605,1.7863292936924855
3.134687716165755,0.7422942677243052,2.4350266598234,2.176654471406132,17.085277145626733,3.4005510189415826,1.734108304785105,27.247320710566207,4.345456163537704,1.6637119543718382,4.4132645046020995,1.7608106753372355
3.2424370201008124,0.8295067737723867,2.5698346139819055,2.1399229911989885,17.708517543163968,3.4127262876877604,1.7347218340559096,28.733072353041234,4.4173798919026925,1.6568606112624042,4.40760997736478,1.7654432596080962
3.3154721951752997,0.6522284057660402,2.379428728026867,2.1434145713713493,15.124014706221748,3.5489981870610046,1.8028778590927217,27.972252517076118,4.45630125770642,1.704123407923411,4.400605774103275,1.7699425554716892
3.785903433687282,0.6385894096308338,2.4411483376165033,2.3098151527772255,15.074612107944585,3.5443561131037935,1.8043705357418351,28.471414325687185,4.456288499994679,1.6752912238317115,4.401812762932448,1.7603358719423468
3.7751327436309543,0.6345344644962412,2.3187720544590427,2.1322030424989316,16.43958481374253,3.6571360434910543,1.7210574328368144,28.813603193029966,4.471655615086025,1.6538052002420602,4.407293207881546,1.7645954257865186
3.2048107256828646,0.5340396014878064,2.4363588494380672,2.2361726051488326,16.799374856542748,3.682377797174343,1.7856723322499377,28.582929513753957,4.474283162032391,1.6992541307881015,4.401506856826803,1.7577236421014208
3.166508459762662,0.5592361210443366,2.514273895954941,2.335528905760554,16.70347255557649,3.5431270014830876,1.7660399295262386,30.621727955176492,4.399112517558891,1.6887536169398696,4.412999569398355,1.7684838212119898
3.9296457259556936,0.621647892589256,2.0169007704635225,2.26619041336708,16.942873105094176,3.361783317097794,1.7425527394786098,29.95868757932173,4.092759786056974,1.6713061229907231,4.486921929179558,1.769954058323622
3.8001021556855696,0.5526661176237777,2.073146161601644,2.3656485188942487,17.321003255189467,3.611725762086225,1.7896128170519932,28.939249433821452,4.143225814652923,1.7021680834517188,4.482406806312807,1.7567600530237888
