H_sed,sed_ratio1,Vs_sed1,Vs_sed2,VpVs_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle,misfit
2.0310174062732416,0.6381159656769196,1.043086708057307,3.354986509281417,2.770679140152963,12.986647846115382,3.5306173492102744,1.7869588809923598,32.25890673577033,4.06421968638935,1.6531804131164833,4.602195779385693,1.7785191532270488,19.18788354040734
2.1452456872660544,0.6871141855769025,1.1623498614455243,3.420423643767235,2.6875107087973076,12.592485640861838,3.595668070623831,1.8069699995756314,32.49638341691455,4.065610688838251,1.65,4.600730596009143,1.7666144468400686,19.35683750647477
2.1666303188158973,0.6682951197152072,1.1398064688156186,3.444638046206425,2.8,12.480382957783911,3.5576214478843506,1.7831037266185854,32.09385679116185,4.008149191330811,1.6674774776089845,4.54594349359311,1.775916726012298,19.382273928188177
2.0,0.7117782827568327,1.1663850305077315,2.690747407153766,2.8,13.07041980352517,3.6165823624230455,1.85,33.30370318402925,4.108557042314899,1.661855547296175,4.616815379675401,1.7728169905602318,19.4059673298241
2.2359745852372965,0.607911189554288,1.0970904122318577,3.066094078047933,2.680427929624297,12.799415449956536,3.5661381354005313,1.8031251929298409,32.5558253364734,4.069769117971892,1.65,4.581485240633338,1.760204460290056,19.431729290463387
2.0,0.6184749622869079,1.0,3.5,2.769142792519797,13.241867070248933,3.5197887483424384,1.7874876829529245,32.07137560598618,4.058936654463685,1.65,4.554520430423408,1.7832160822241698,19.4343494071157
2.0207018796974987,0.6941787162697087,1.1222423409862252,3.5,2.7647870512194253,12.916268477534429,3.5427464121471397,1.79743897616426,32.313548182986175,4.0678512630395725,1.650127056364257,4.603488648067916,1.778335979585237,19.504539260087963
2.340215764462407,0.5917467347227822,1.1119521944551436,3.3245854443021057,2.6456634162593637,12.909841955361228,3.566181483737311,1.7982398630483878,32.55467050163439,4.089627910790746,1.6552445102773763,4.580011953429566,1.7608925226957364,19.544458000906605
2.0537118748536565,0.6757396331258347,1.1053387946372115,3.389064412878815,2.727032339313641,12.956308861713929,3.5859876292480486,1.7886537724191098,32.23131231092511,4.005712404767092,1.6645991391964203,4.603682841492584,1.7692788799307912,19.55031527815131
2.0,0.7064355280431992,1.1178691759097774,3.394933366685706,2.8,12.62573057311121,3.542871064369627,1.808912807057079,32.45341462932296,4.083628767115417,1.6534776634086399,4.601968359683906,1.778530024626695,19.550754204758206
2.0571322153374423,0.6583083456750565,1.1098563853150147,2.780266542909248,2.7940511804291357,12.860774886572923,3.5400103231865057,1.8190855068452132,32.70697555730305,4.097636729117237,1.6695700003327887,4.607517341322569,1.77281991965852,19.55322031558447
2.0432562215825913,0.704969653758372,1.154253052219015,3.3978346056481845,2.751325230921987,13.273673376824492,3.593696983135284,1.85,33.21693310351864,4.1071248112273055,1.655201552860126,4.608355644351573,1.7767316676113518,19.612286863728663
2.455006793426729,0.6071946996791695,1.194872954197102,3.4092064937168924,2.764779041479851,13.371900913617317,3.6556160832071454,1.8448041402372302,33.58619935479077,4.181755237861928,1.6529653732401364,4.6679165590933565,1.7665652885522718,19.630522039903354
2.068468787239262,0.7020970501845162,1.175781352902779,3.143272135207311,2.7133734566141303,13.187245103374602,3.610098142745693,1.8386169907843466,33.28752856017724,4.141618187417205,1.6553517364653247,4.6247934729162905,1.7705945662676792,19.649590086768182
2.0,0.6833145399924269,1.09110542823807,3.361675452313709,2.7496458249995497,12.934194844521874,3.5394852595272823,1.8461375694928905,32.34945959440754,4.079293907742671,1.65,4.5587790665646475,1.7778528589336788,19.652083867788125
2.1877486109271604,0.6755197088331363,1.163149808833636,3.5,2.6887826543406206,12.366042480965824,3.552840406270442,1.8130502805849542,32.21105412290368,3.992596067603787,1.6607331065703899,4.597310037817679,1.769689637412116,19.660260249718753
2.0,0.6640533401217903,1.0774303178456135,3.353483320826643,2.7526430942166256,12.932731130122942,3.5068553779276903,1.8315058017083605,32.47840198520854,4.067907335152937,1.6750680468269816,4.5869832023823545,1.768044550028108,19.673131345873934
2.3123889247449103,0.6224462269715597,1.1708505324533103,3.1277462897868364,2.7700504323501254,13.297332585636463,3.6645875944648623,1.849957085815922,33.59816075039227,4.194207086367107,1.650990744852553,4.671484287922762,1.7819048840620513,19.674471939317513
2.0,0.6687161548080844,1.0791134681278551,3.3545806942423426,2.7746563208422175,13.053013185794757,3.5791692818828915,1.7950868091250411,32.414567850000076,4.058774177844113,1.672755564260273,4.590831600305907,1.7690330500929616,19.68475927102964
2.0813656068555617,0.6875435518639799,1.1416574946514122,3.180866655560145,2.6893183811502097,12.594533485975909,3.623940143936561,1.8132484488105447,32.61323920953558,4.056052634102242,1.65,4.590145237823204,1.7696384254728235,19.686763813085754
2.0178569487034017,0.6473453430520648,1.1174849603021597,2.509322577589424,2.798626008503472,12.730081362507502,3.5860701701248785,1.79559856268535,32.908567095252785,4.11533835138662,1.665503144658536,4.638593224877332,1.7708032570146062,19.70184232218167
2.033590573499599,0.6949224750902785,1.1217529819820422,3.384215441542801,2.8,12.800145883495862,3.566008313771527,1.786689270967459,32.17252878834229,4.06129133441282,1.6636820306364264,4.579346790020726,1.7713567581834666,19.70523410235119
2.0,0.7128376818383505,1.1448410543922172,3.381931945856925,2.7940079508533042,12.478410297174776,3.5470894392161894,1.7593938656860248,32.21908329655416,4.010133559061323,1.6732974783533843,4.561560393102732,1.7736641319954178,19.71623573987464
