parameter,best,top_mean,top_std
H_sed,3.33517125763543,3.3953709011837687,0.08476830910356359
Vs_sed0,0.8102773644436528,0.8252132232281114,0.03961195466620118
Vs_sedz,2.005224086612373,2.028630046936569,0.03806484524535957
K_sed,2.2312071433960017,2.231477789083765,0.045862247927105096
H_uc,15.083529207248917,15.346797109378846,0.5624589481552577
Vs_uc,3.704671693602723,3.7402481645716916,0.03365018327589462
VpVs_uc,1.7513081990942234,1.7629823435016654,0.013925114041510244
H_moho,31.711679200943184,31.92346807448284,0.3801656746622627
Vs_lc,4.243932607448203,4.255487432710781,0.1675380043977675
VpVs_lc,1.65,1.6543595056530838,0.005504669420146588
Vs_mantle,4.507606067074223,4.528404742584078,0.036897902138099216
VpVs_mantle,1.755309010367679,1.7577360213023603,0.006740615804431422
